Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location,Description
Looking Glass Workshop [Developer / ML 6F (Dreyfoos)],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Developer


Speaker: Bryan Brown (Looking Glass Factory)
Type: Sponsor
Status: Confirmed
"
Cognitive3D [Developer / ML 6F (Dreyfoos)],2023-01-12,11:00,2023-01-12,12:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Developer


Speaker: Sponsor-Led
Type: Sponsor
Status: Confirmed
"
inCitu.us [Developer / ML 6F (Dreyfoos)],2023-01-12,12:15,2023-01-12,13:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Developer

Speaker: Sponsor-Led
Type: Sponsor
Status: Confirmed
"
Leia [Developer / ML 6F (Dreyfoos)],2023-01-12,13:30,2023-01-12,14:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Developer


Speaker: Sponsor-Led
Type: Sponsor
Status: Confirmed
"
"Shape Culture with AR using TikTok Effect House [Design,Developer / ML 6F (Dreyfoos)]",2023-01-12,14:30,2023-01-12,15:45,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Design,Developer

How to tell a story using Effect house / Intro to Effect House software
Speaker: Greg Feingold (TikTok),Mingus New (TikTok)
Type: Sponsor
Status: Confirmed
"
Developing Lightweight AR Glasses experiences with Snapdragon Spaces [Developer / ML 6F (Dreyfoos)],2023-01-12,15:30,2023-01-12,16:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Developer

Learn about the features and capabilities of the Snapdragon Spaces XR Developer Platform in this informal workshop overview. This Augmented Reality-focused session is highly recommended for participants interested in the dedicated Snapdragon Spaces Hack, and is intended for those with previous experience building mobile and / or XR apps using Unity.
Speaker: Steve Lukas (Snapdragon Spaces),Rogue Fong (Snapdragon Spaces)
Type: Sponsor
Status: Confirmed
"
"Introduction to Multiplayer with Normcore [Advanced,Developer / ML 6F (Dreyfoos)]",2023-01-12,16:30,2023-01-12,17:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Dreyfoos) | Turtle Island
Major: Advanced,Developer

Learn how to create multiplayer connected applications using Normcore 
Speaker: XR Terra

Status: Confirmed
"
Brain-computer interfacing with Arctop's SDK: basic to advanced functions to wow users [Developer / ML 6F (Skyline)],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Developer


Speaker: Dan Furman (ArcTop)
Type: Sponsor
Status: Confirmed
"
"HaptX [Advanced,Developer / ML 6F (Skyline)]",2023-01-12,11:00,2023-01-12,12:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Advanced,Developer

This should be  in the media  lab tangential to the sponsor expo
Speaker: Sponsor-Led
Type: Sponsor
Status: Confirmed
"
"Prototyping in ShapesXR [Design,Developer,Advanced / ML 6F (Skyline)]",2023-01-12,12:15,2023-01-12,13:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Design,Developer,Advanced

For Quest only
Speaker: Sponsor-Led
Type: Beginner,Fun
Status: Confirmed
"
Open Source Multiplayer Project [Developer / ML 6F (Skyline)],2023-01-12,13:30,2023-01-12,14:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Developer


Speaker: Daniel Sisson (CyberHub)
Type: Sponsor
Status: Confirmed
"
Esri: Get Started with ArcGIS Maps SDKs for Game Engines [Developer / ML 6F (Skyline)],2023-01-12,14:30,2023-01-12,15:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Developer

Attend this workshop to learn how to use Esri’s ArcGIS Maps SDKs for Unity and Unreal Engine to build immersive XR experiences with real-world geospatial data and analytics. 
Speaker: Rex Hansen (Esri),Matt Nelson (Esri)
Type: Sponsor
Status: Confirmed
"
"Introduction to Joints [Advanced,Developer / ML 6F (Skyline)]",2023-01-12,15:30,2023-01-12,16:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Advanced,Developer

Learn more about the Unity Physics System and connected rigidbodies with Unity
Speaker: XR Terra

Status: Confirmed
"
"Developing an Avatar [Advanced,Design,Developer / ML 6F (Skyline)]",2023-01-12,16:30,2023-01-12,17:30,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: ML 6F (Skyline) | Water Tribe
Major: Advanced,Design,Developer


Speaker: Dulce Baerga
Type: Beginner
Status: Confirmed
"
Getting started with Unity [Developer / Old ML (Bartos)],2023-01-12,10:00,2023-01-12,11:00,False,"MIT Media Lab, 75 Amherst St, Cambridge, MA 02139, Stany Zjednoczone","
Location: Old ML (Bartos) | Ember Island
Major: Developer

Basics of Unity
The editor, panels
Components
Into to scripting
Speaker: XR Terra
Type: Beginner
Status: Confirmed
"
